pid,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,exter_qual,bsmt_qual,bsmt_exposure,total_bsmt_sf,heating_qc,gr_liv_area,bedroom_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,wood_deck_sf,mo_sold,yr_sold,saleprice,masonry_veneer_brick,foundation_cinder,foundation_concrete,garage_attached,lot_inside,exterior_vinyl,bathrooms,porch,residential_density,irregular_lot_shape,house_floors,basement_finished_rating,neighborhood_BrkSide,neighborhood_CollgCr,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NWAmes,neighborhood_OldTown,neighborhood_Sawyer,neighborhood_Somerst
526351030,87.0,11029,6,8,1958,2002,0.0,5,4,1,1184,5,1414,3,3,6,1,3,2002,1,2,601,0,5,2008,176500,0,1,0,1,0,0,2.0,1,1,1,1.0,5,False,False,False,False,False,True,False,False,False,False
526353050,68.0,12925,6,7,1970,1970,0.0,3,3,2,1205,5,2117,4,3,7,2,4,1970,3,2,550,0,5,2008,237500,0,1,0,1,0,0,2.5,1,1,1,1.0,3,False,False,False,False,False,True,False,False,False,False
526354070,85.0,11075,6,5,1969,1969,0.0,3,2,2,952,3,2112,4,3,9,2,4,1969,1,2,576,280,6,2008,206900,0,1,0,1,1,0,2.5,0,1,0,2.0,5,False,False,False,False,False,True,False,False,False,False
527105050,72.0,8702,6,5,1997,1998,0.0,3,3,1,926,5,1604,3,3,7,1,3,1998,3,2,470,0,4,2008,187500,0,0,1,1,1,1,2.5,1,1,1,2.0,3,False,False,False,True,False,False,False,False,False,False
527106140,59.0,9535,6,5,1998,1998,0.0,3,4,4,926,5,1604,3,3,7,0,0,1998,3,2,472,100,5,2008,195500,0,0,1,1,1,1,2.5,1,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
527106150,59.0,9042,6,5,1998,1998,0.0,3,4,4,943,4,1638,3,3,7,2,3,1998,3,2,472,100,7,2008,192000,0,0,1,1,1,1,3.5,1,1,1,2.0,6,False,False,False,True,False,False,False,False,False,False
527131110,45.0,6264,8,5,1997,1997,0.0,4,5,2,1664,5,1682,1,4,6,1,3,1997,3,2,528,0,7,2008,247900,0,0,1,1,0,0,2.5,0,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
527161010,100.0,10839,6,5,1997,1998,0.0,3,4,1,926,5,1604,3,3,7,1,3,1998,3,2,470,0,7,2008,181000,0,0,1,1,0,1,2.5,1,1,1,2.0,1,False,False,False,True,False,False,False,False,False,False
527163100,68.0,8000,6,5,1995,1996,0.0,3,4,1,773,4,1658,3,3,8,1,3,1996,3,2,431,224,6,2008,188000,0,0,1,1,1,0,3.5,1,1,0,2.0,6,False,False,False,True,False,False,False,False,False,False
527183060,65.0,5950,8,5,1989,1989,0.0,4,4,4,1337,4,1337,2,4,5,1,3,1989,2,2,462,0,4,2008,188500,0,0,1,1,1,0,3.0,1,1,1,1.0,6,False,False,False,False,False,False,False,False,False,False
527208010,101.0,13543,8,5,2005,2005,130.0,4,5,4,1168,5,2500,5,5,9,1,4,2005,3,3,683,192,7,2008,355000,0,0,1,1,0,1,3.5,1,1,1,2.0,6,False,False,False,False,False,False,False,False,False,False
527212050,77.0,11198,9,5,2005,2007,245.0,4,4,1,1122,5,2504,4,5,11,1,4,2007,3,3,656,144,6,2008,325000,1,0,1,1,1,1,2.5,1,1,1,2.0,1,False,False,False,False,False,False,False,False,False,False
527226020,68.0,31220,6,2,1952,1952,0.0,3,3,1,1632,3,1474,3,3,7,2,4,1952,1,2,495,0,5,2008,115000,0,1,0,1,0,0,1.0,1,1,1,1.0,1,False,False,False,True,False,False,False,False,False,False
527252080,60.0,8118,9,5,2007,2007,178.0,5,5,4,1710,5,1710,2,5,6,1,4,2007,2,2,557,156,7,2008,334000,1,0,1,1,1,0,3.0,1,1,0,1.0,6,False,False,False,False,False,False,False,False,False,False
527301245,63.0,12680,7,6,1988,1988,102.0,4,4,2,1675,5,1688,2,5,6,1,5,1988,2,2,528,0,6,2008,226500,1,1,0,1,1,0,3.0,1,1,1,1.0,6,False,False,False,False,False,False,True,False,False,False
527302050,78.0,12090,6,6,1981,1981,210.0,3,4,1,1422,3,1422,3,4,7,1,3,1981,3,2,576,276,6,2008,175500,1,1,0,1,1,0,2.0,0,1,1,1.0,6,False,False,False,False,False,False,True,False,False,False
527302070,68.0,10825,7,7,1983,1983,174.0,4,4,2,1260,3,1260,3,3,6,0,0,1983,1,2,598,152,7,2008,181900,1,1,0,1,1,0,3.0,0,1,1,1.0,6,False,False,False,False,False,False,True,False,False,False
527302210,85.0,14450,7,5,1979,1979,194.0,4,4,1,1782,3,1782,3,4,6,1,3,1979,3,2,551,467,3,2008,220000,1,1,0,1,1,0,2.5,0,1,0,1.0,5,False,False,False,False,False,False,True,False,False,False
527325070,68.0,12227,6,7,1977,1995,424.0,3,4,1,1330,3,2872,4,3,11,1,3,1995,3,2,619,550,7,2008,272000,1,1,0,1,0,0,3.5,1,1,1,2.0,5,False,False,False,False,False,False,True,False,False,False
527354160,80.0,10400,7,6,1980,1988,280.0,3,4,2,738,3,2044,3,3,7,1,3,1988,1,2,489,28,3,2008,185000,1,1,0,1,1,0,2.5,1,1,0,2.0,1,False,False,False,False,False,False,True,False,False,False
527357110,75.0,9743,5,6,1969,1969,0.0,3,3,1,720,4,1308,3,3,7,0,0,1969,1,2,484,0,6,2008,146900,0,1,0,0,1,1,1.5,0,1,0,2.0,3,False,False,False,False,False,False,True,False,False,False
527359030,80.0,10400,6,5,1976,1976,120.0,3,3,1,1444,3,1444,2,3,5,1,4,1976,1,2,473,0,4,2008,159900,1,1,0,1,1,0,2.0,1,1,0,1.0,1,False,False,False,False,False,False,True,False,False,False
527380240,68.0,14311,8,5,1996,1996,402.0,4,4,1,1236,5,2340,4,4,9,1,4,1996,2,3,787,192,6,2008,306000,1,0,1,1,0,1,3.5,1,1,1,2.0,6,False,False,False,False,False,False,True,False,False,False
527401130,60.0,9000,5,5,1974,1974,0.0,3,4,2,896,3,1792,4,3,8,0,0,1974,1,2,480,0,6,2008,133000,0,1,0,0,0,1,3.0,1,1,0,2.0,1,False,False,False,False,False,True,False,False,False,False
527402060,65.0,9750,6,8,1969,1969,0.0,3,4,1,1054,4,1054,3,3,6,0,0,1969,1,2,460,180,7,2008,151000,0,1,0,1,0,0,2.5,1,1,0,1.0,5,False,False,False,False,False,True,False,False,False,False
527403360,63.0,7560,5,5,1971,1971,0.0,3,4,1,864,3,864,3,3,5,0,0,1971,1,2,576,0,5,2008,123000,0,1,0,0,1,0,2.0,0,1,0,1.0,4,False,False,False,False,False,True,False,False,False,False
527425035,68.0,12735,4,5,1972,1972,0.0,3,3,1,864,3,864,3,3,5,0,0,1972,1,2,576,216,4,2008,111250,0,1,0,0,0,0,1.0,0,1,1,1.0,3,False,False,False,False,False,True,False,False,False,False
527450110,21.0,1680,6,5,1973,1973,359.0,3,3,1,483,3,987,2,3,5,0,0,1973,1,1,264,52,2,2008,103400,1,1,0,0,1,0,2.0,0,2,0,2.0,2,False,False,False,False,False,False,False,False,False,False
